"Year","CN code","PRODCOM code"
"2003","02011000","15111140"
"2003","02012020","15111140"
"2003","02012030","15111140"
"2003","02012050","15111140"
"2003","02012090","15111190"
"2003","02013000","15111190"
"2003","02021000","15111200"
"2003","02022010","15111200"
"2003","02022030","15111200"
"2003","02022050","15111200"
"2003","02022090","15111200"
"2003","02023010","15111200"
"2003","02023050","15111200"
"2003","02023090","15111200"
"2003","02031110","15111330"
"2003","02031190","15111330"
"2003","02031211","15111350"
"2003","02031219","15111350"
"2003","02031290","15111350"
"2003","02031911","15111390"
"2003","02031913","15111390"
"2003","02031915","15111390"
"2003","02031955","15111390"
"2003","02031959","15111390"
"2003","02031990","15111390"
"2003","02032110","15111430"
"2003","02032190","15111430"
"2003","02032211","15111450"
"2003","02032219","15111450"
"2003","02032290","15111450"
"2003","02032911","15111490"
"2003","02032913","15111490"
"2003","02032915","15111490"
"2003","02032955","15111490"
"2003","02032959","15111490"
"2003","02032990","15111490"
"2003","02041000","15111500"
"2003","02042100","15111500"
"2003","02042210","15111500"
"2003","02042230","15111500"
"2003","02042250","15111500"
"2003","02042290","15111500"
"2003","02042300","15111500"
"2003","02043000","15111600"
"2003","02044100","15111600"
"2003","02044210","15111600"
"2003","02044230","15111600"
"2003","02044250","15111600"
"2003","02044290","15111600"
"2003","02044310","15111600"
"2003","02044390","15111600"
"2003","02045011","15111700"
"2003","02045013","15111700"
"2003","02045015","15111700"
"2003","02045019","15111700"
"2003","02045031","15111700"
"2003","02045039","15111700"
"2003","02045051","15111700"
"2003","02045053","15111700"
"2003","02045055","15111700"
"2003","02045059","15111700"
"2003","02045071","15111700"
"2003","02045079","15111700"
"2003","02050011","15111800"
"2003","02050019","15111800"
"2003","02050090","15111800"
"2003","02061010","15111900"
"2003","02061091","15111900"
"2003","02061095","15111900"
"2003","02061099","15111900"
"2003","02062100","15111900"
"2003","02062200","15111900"
"2003","02062910","15111900"
"2003","02062991","15111900"
"2003","02062999","15111900"
"2003","02063020","15111900"
"2003","02063030","15111900"
"2003","02063080","15111900"
"2003","02064120","15111900"
"2003","02064180","15111900"
"2003","02064920","15111900"
"2003","02064980","15111900"
"2003","02068010","15111900"
"2003","02068091","15111900"
"2003","02068099","15111900"
"2003","02069010","15111900"
"2003","02069091","15111900"
"2003","02069099","15111900"
"2003","02071110","15121113"
"2003","02071130","15121113"
"2003","02071190","15121113"
"2003","02071210","15121213"
"2003","02071290","15121213"
"2003","02071310","15121153"
"2003","02071320","15121153"
"2003","02071330","15121153"
"2003","02071340","15121153"
"2003","02071350","15121153"
"2003","02071360","15121153"
"2003","02071370","15121153"
"2003","02071391","15121170"
"2003","02071399","15121170"
"2003","02071410","15121253"
"2003","02071420","15121253"
"2003","02071430","15121253"
"2003","02071440","15121253"
"2003","02071450","15121253"
"2003","02071460","15121253"
"2003","02071470","15121253"
"2003","02071491","15121275"
"2003","02071499","15121271"
"2003","02072410","15121115"
"2003","02072490","15121115"
"2003","02072510","15121215"
